sample_id	PC1	PC2	cell_type	donor	PC1_percent_variance	PC2_percent_variance
SRR7650764	-8.96872486735389	2.60776859069992	Mature_NK	1001	58.56	16.72
SRR7650766	-16.3318655472779	-0.207319235857329	Memory_NK	1001	58.56	16.72
SRR7650808	16.2835339259469	3.93591942684537	Memory_NK	1002	58.56	16.72
SRR7650846	-2.62140470793905	6.167377555886	Mature_NK	1003	58.56	16.72
SRR7650848	-0.637348428576254	8.63650642073977	Memory_NK	1003	58.56	16.72
SRR7650883	-1.42721820270207	-1.71465177938451	Mature_NK	1004	58.56	16.72
SRR7650885	-14.0030189576231	-6.93819909216714	Memory_NK	1004	58.56	16.72
SRR7650911	11.1526087585541	-3.62884565154001	Mature_NK	1008	58.56	16.72
SRR7650913	8.97217756241436	-10.3452389467681	Memory_NK	1008	58.56	16.72
SRR7650922	7.58126046455695	1.48668271154606	Memory_NK	1010	58.56	16.72
